id,name,area
tokyo_adachi_kitasenju_himitsu_mrs_room,秘密のミセスルーム 北千住,北千住
tokyo_adachi_kitasenju_macherie,マシェリ,北千住
tokyo_adachi_kitasenju_muchispa_room,むちすぱルーム 北千住,北千住
tokyo_adachi_kitasenju_ranpu_kitasenju,らんぷ 北千住,北千住
tokyo_adachi_kitasenju_remis,ランス (REMIS) 旧ニルス,北千住
tokyo_adachi_takenotsuka_aroma_banker,Aroma BANKER (アロマバンカー),竹ノ塚
tokyo_adachi_ushida_ranpu_kitasenju,らんぷ 北千住,牛田
tokyo_arakawa_nippori_aroma_giraffe,アロマジラフ 旧アロマオリオ,日暮里
tokyo_arakawa_nippori_deep_black,Deep Black (ディープブラック),日暮里
tokyo_chiyoda_akihabara_ar_tokyo,ar Tokyo (アールトウキョウ秋葉原),秋葉原
tokyo_chiyoda_akihabara_aroma_amour,AROMA AMOUR (秋葉原店),秋葉原
tokyo_chiyoda_akihabara_aroma_lunabelle_akihabara,Aroma Lunabelle (アロマルナベール秋葉原),秋葉原
tokyo_chiyoda_akihabara_aroma_rejina,Aroma Rejina 秋葉原 (アロマレジーナ),秋葉原
tokyo_chiyoda_akihabara_assouplir,Assouplir (アスプリー秋葉原店),秋葉原
tokyo_chiyoda_akihabara_prispa,Prispa (プリスパ),秋葉原
tokyo_chiyoda_akihabara_rex,Rex (レックス秋葉原店),秋葉原
tokyo_chiyoda_akihabara_the_salon,The Salon (ザ・サロン秋葉原店),秋葉原
tokyo_chiyoda_akihabara_weal,Weal (ウィール秋葉原店),秋葉原
tokyo_chiyoda_iwamotocho_kami_no_esthe,神のエステ (東京・岩本町店),岩本町
tokyo_chiyoda_jimbocho_queens_collection,QUEEN'S COLLECTION 神保町ルーム,神保町
tokyo_chiyoda_kanda_chill_spa,Chill Spa (ちるスパ),神田
tokyo_chiyoda_kanda_kami_no_esthe,神のエステ (東京・神田店),神田
tokyo_chiyoda_kudanshita_rondo,ロンド 旧下弦の月 (九段下店),九段下
tokyo_chiyoda_yotsuya_e_komachi,四ツ谷メンズエステ E小町 四谷店,四谷
tokyo_chofu_aroma_ella,Aroma ELLA (アロマエラ 調布店),調布
tokyo_chofu_jesse,Jesse (ジェシー 調布店),調布
tokyo_chofu_kami_chofu,神のエステ (調布店),調布
tokyo_chofu_trendy_spa,TRENDY SPA (調布店),調布
tokyo_chofu_unison_spa,ユニゾンスパ (調布店),調布
tokyo_chuo_ginza_aroma_amour,AROMA AMOUR (銀座店),銀座
tokyo_chuo_ginza_ginza_rich,Ginza Rich (銀座リッチ),銀座
tokyo_chuo_ginza_kami_no_esthe_shinbashi,神のエステ 新橋・銀座新富町店 (銀座),銀座
tokyo_chuo_ginza_otonaspa,大人のやすらぎSPA (銀座店),銀座
tokyo_chuo_ginza_rondo,ロンド 旧下弦の月 (銀座店),銀座
tokyo_chuo_ginza_ryugujo,竜宮城 旧百万石 (銀座店),銀座
tokyo_chuo_nihonbashi_berryz_spa,Berryz Spa (ベリーズスパ),日本橋
tokyo_chuo_nihonbashi_kami_no_esthe,神のエステ (東京・日本橋店),日本橋
tokyo_chuo_nihonbashi_urekaji_nihonbashi,熟れた果実,日本橋
tokyo_chuo_ningyocho_ryugujo,竜宮城 旧百万石 (人形町店),人形町
tokyo_dispatch_aqua_premium,AQUA PREMIUM (アクアプレミアム),23wards
tokyo_dispatch_because,ビコーズ (旧リオン),23wards
tokyo_dispatch_candy_spa,Candy Spa (キャンディスパ),23wards
tokyo_dispatch_hananoame,花の雨リラクゼーション,23wards
tokyo_dispatch_jukujo_tokyo,熟女東京,23wards
tokyo_dispatch_the_aroma,ザ アロマ (The Aroma),23wards
tokyo_dispatch_outside_no_brand,No Brand (ノーブランド),23区外,その他
tokyo_fuchu_aroma_ella,Aroma ELLA (アロマエラ 府中店),府中
tokyo_fuchu_kami_chofu,神のエステ (府中店),府中
tokyo_fuchu_luxury_romance,Luxury Romance GROUP (ラグジュアリーロマンスグループ),府中
tokyo_fuchu_syalulu,シャルル (旧ディープ府中),府中
tokyo_hachioji_rabbit_spa,ラビットスパ (Rabbit Spa) 立川店,八王子市
tokyo_hachioji_rere,RERE GROUP (リリグループ),八王子市
tokyo_kita_alice,Alice (アリス) 赤羽,
tokyo_kita_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),
tokyo_kita_lamp_akabane,らんぷ 赤羽店,
tokyo_kita_yorimichi,よりみち (Yorimichi) (旧いごこち),
tokyo_koganei_west_tokyo,WEST TOKYO (旧結有),小金井
tokyo_kokubunji_aroma_ella,Aroma ELLA (アロマエラ 国分寺店),
tokyo_kokubunji_esthe_bijin_madam,エステ美人マダム 三鷹店,国分寺
tokyo_kokubunji_west_tokyo,WEST TOKYO (旧結有),
tokyo_koto_kameido_muchispa_room,むちすぱルーム 亀戸,亀戸
tokyo_koto_monzennakacho_rondo,ロンド 旧下弦の月 (門前仲町店),門前仲町
tokyo_koto_monzennakacho_ryugujo,竜宮城 旧百万石 (門前仲町店),門前仲町
tokyo_machida_rere,RERE GROUP (リリグループ),
