shop_id,shop_name,group_id
chiba_funabashi_limited_spa,Limited Spa (リミテッドスパ),g_5acd33d2
chiba_funabashi_limited_spa,Limited Spa (リミテッドスパ),g_5acd33d2
chiba_kashiwa_limited_spa,Limited Spa (リミテッドスパ),g_41b7750c
chiba_narita_levechi_esthe,超レベチなエステ24,g_e8df0f81
chiba_togane_levechi_esthe,超レベチなエステ24,g_bbd8d634
kanagawa_atsugi_doigt_de_fee,doigt de fee (ドゥワドフェ),g_25129e2c
kanagawa_kawasaki_doigt_de_fee,doigt de fee (ドゥワドフェ),g_a3bb9abe
kanagawa_kawasaki_doigt_de_fee,doigt de fee (ドゥワドフェ),g_a3bb9abe
kanagawa_kawasaki_doigt_de_fee,doigt de fee (ドゥワドフェ),g_a3bb9abe
kanagawa_kawasaki_doigt_de_fee,doigt de fee (ドゥワドフェ),g_a3bb9abe
kanagawa_kawasaki_hoozuki,Ho・O・Zu・Ki・SPA (ホオズキスパ),g_4255890e
kanagawa_kawasaki_doigt_de_fee,doigt de fee (ドゥワドフェ),g_a3bb9abe
kanagawa_sagamihara_luxury_romance,Luxury Romance GROUP (ラグジュアリーロマンスグループ),g_ab8241a9
kanagawa_sagamihara_luxury_romance,Luxury Romance GROUP (ラグジュアリーロマンスグループ),g_ab8241a9
osaka_higobashi_kansya,感謝 旧愛燦燦,g_b2cc6e9f
osaka_kitahama_kansya,感謝 旧愛燦燦,g_8a01c154
osaka_kyobashi_kireina_salon,綺麗なサロン,g_d0467529
osaka_minamimorimachi_kansya,感謝 旧愛燦燦,g_9e69ed2a
osaka_nagahoribashi_kireina_salon,綺麗なサロン,g_cf49e8df
osaka_sakaisujihonmachi_kansya,感謝 旧愛燦燦,g_b3ab3f8c
osaka_sakaisujihonmachi_kireina_salon,綺麗なサロン,g_a5739cd2
saitama_kuki_limited_spa,Limited Spa (リミテッドスパ),g_c4a9cd04
saitama_omiya_platinum_tokyo,PLATINUM TOKYO 大宮店,g_98557e2e
tokyo_adachi_kitasenju_himitsu_mrs_room,秘密のミセスルーム 北千住,g_c3114e65
tokyo_adachi_kitasenju_ranpu_kitasenju,らんぷ 北千住,g_88360c20
tokyo_arakawa_nippori_aroma_blossom,Aroma Blossom (日暮里店),g_b5dc3621
tokyo_chiyoda_kudanshita_rondo,ロンド 旧下弦の月 (九段下店),g_bc2b9830
tokyo_chuo_ginza_aromamore,AROMA more (アロマモア),g_ea315407
tokyo_chuo_ginza_grand_aroma,グランドアロマ東京 (銀座店),g_f573685f
tokyo_chuo_ginza_rondo,ロンド 旧下弦の月 (銀座店),g_d098b72d
tokyo_chuo_nihonbashi_berryz_spa,Berryz Spa (ベリーズスパ),g_ba35eed3
tokyo_chuo_nihonbashi_high_grande,HIGH GRANDE (ハイグランデ),g_f4a56880
tokyo_chuo_nihonbashi_urekaji_nihonbashi,熟れた果実,g_23218e7f
tokyo_dispatch_candy_spa,Candy Spa (キャンディスパ),g_2bc31430
tokyo_hachioji_rabbit_spa,ラビットスパ (Rabbit Spa) 立川店,g_91e602b6
tokyo_hachioji_tokyopla,トキョプラ 旧T+Plus (ティープラス) 新宿,g_bd7d96b5
tokyo_kita_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),g_8c8ebab0
tokyo_kita_yorimichi,よりみち (Yorimichi) (旧いごこち),g_59589260
tokyo_koto_monzennakacho_ryugujo,竜宮城 旧百万石 (門前仲町店),g_9a619215
tokyo_meguro_gakugei_daigaku_tokyo_esthe_club,東京えすてクラブ,g_e1aa40ff
tokyo_meguro_jiyugaoka_doigt_de_fee,doigt de fee (ドゥワドフェ),g_f878b07c
tokyo_meguro_jiyugaoka_mens_esthe_group,メンエスグループ,g_909d4d26
tokyo_meguro_meguro_dahlia,DAHLIA (ダリア),g_e7f1b3e9
tokyo_meguro_meguro_grace,GRACE (グレース),g_9af13334
tokyo_meguro_meguro_mens_esthe_group,メンエスグループ,g_b70a7342
tokyo_meguro_nakameguro_aqua,AQUA (アクア),g_9139a23b
tokyo_meguro_aroma_blossom,Aroma Blossom (アロマブロッサム),g_ab51f386
tokyo_meguro_nakameguro_grace,GRACE (グレース),g_b3fcc816
tokyo_minato_akasaka_emerald,AROMA EMERALD (アロマエメラルド),g_98c697bd
tokyo_minato_akasaka_kami_no_esthe,神のエステ 赤坂店,g_04c8e81f
tokyo_minato_azabujuban_aria,ARIA (アリア),g_8b9b87a5
tokyo_minato_azabujuban_carinna,Carinna (カリナ),g_c5c8e523
tokyo_minato_azabujuban_edel,EDEL AZABU (エデル麻布),g_b3c59989
tokyo_minato_azabujuban_emerald,AROMA EMERALD (アロマエメラルド),g_51143fea
tokyo_minato_azabujuban_roppongi_mens,六本木メンズエステ,g_e5872815
tokyo_minato_azabujuban_saudade,サウダージ (旧リセット),g_c1cd30fc
tokyo_minato_azabujuban_the_esthe,THE ESTHE AZABU (ザ・エステアザブ),g_9de21584
tokyo_minato_azabujuban_the_premium_spa,THE PREMIUM SPA (ザ・プレミアムスパ),g_91718771
tokyo_minato_hamamatsucho_jean_robin,JEAN ROBIN (ジャンロビン),g_9dfd36be
tokyo_minato_roppongi_aromamore,AROMA more (アロマモア),g_8c0ce468
tokyo_minato_roppongi_roppongi_mens,六本木メンズエステ,g_8aeff4d1
tokyo_minato_roppongi_the_premium_spa,THE PREMIUM SPA (ザ・プレミアムスパ),g_75a4640a
tokyo_minato_shinbashi_lumespa,ルメスパ 旧Aroma Spec (アロマスペック),g_fc3cfd09
tokyo_minato_shinbashi_relax_tokyo,relax tokyo (リラックス東京),g_839529ca
tokyo_minato_shinbashi_tiger_gate,TIGER GATE (タイガーゲート),g_b48840c2
tokyo_minato_tamachi_dahlia,DAHLIA (ダリア),g_1793001a
tokyo_minato_tamachi_edel,EDEL AZABU (エデル麻布),g_242dec79
tokyo_minato_tamachi_jean_robin,JEAN ROBIN (ジャンロビン),g_cb60ce2c
tokyo_minato_toranomon_tiger_gate,TIGER GATE (タイガーゲート),g_8743e4d1
tokyo_musashino_kichijoji_aroma_charmant,Aroma charmant (アロマシャルマント),g_3dfc1948
tokyo_musashino_kichijoji_yorimichi,よりみち (Yorimichi) (旧いごこち),g_10319e2f
tokyo_nakano_golden,ゴールデン（GOLDEN） 旧ガーデン,g_59da4b3a
tokyo_nakano_levechi_esthe,超レベチなエステ24,g_6bb135f2
tokyo_nakano_tokyo_mensesthe,東京メンズエステ 中野ルーム,g_3a6b0cc9
tokyo_nerima_nerima_aroma_modeste,Aroma Modeste (アロマモデスト),g_5391d227
tokyo_nerima_nerima_mens_esthe_group,メンエスグループ,g_118759a1
tokyo_ota_kamata_anjuaile,Anjuaile (アンジュエール),g_762f9856
tokyo_ota_kamata_gokujou,GOKUJOU 極嬢,g_664250bb
