# 公式サイトのドメインが一致することを人が確認したものだけ（2026-09-14）
# 形式: shop_id <TAB> 新しいgroup_id
# ⚠️ M SPA / Queendom / ミセス美オーラ は公式ドメインが別なので**入れていない**
kanagawa_kawasaki_doigt_de_fee	g_brand_doigt_de_fee
tokyo_chuo_ginza_rich	g_brand_ginza_rich
saitama_saitama_minamiurawa_muchispa	g_brand_muchispa_room
kanagawa_musashikosugi_aroma_ella	g_brand_aroma_ella
tokyo_mitaka_mitaka_aroma_ella	g_brand_aroma_ella
kanagawa_shinyurigaoka_redeye	g_brand_greenapple
kanagawa_kawasaki_noborito_greenapple	g_brand_greenapple
kanagawa_kawasaki_musashikosugi_hoozuki	g_brand_hoozuki
tokyo_mitaka_mitaka_esthe_madamu	g_brand_esthe_bijin_madam
shiga_otsu_station_yurikago	g_brand_yurikago_kyoto
kyoto_kyoto_yurikago	g_brand_yurikago_kyoto
tokyo_taito_minowa_ranpu	g_brand_lamp
tokyo_adachi_kitasenju_ranpu_kitasenju	g_brand_lamp
tokyo_adachi_ushida_ranpu_kitasenju	g_brand_lamp
saitama_omiya_lamp_omiya	g_brand_lamp
saitama_kawagoe_lamp	g_brand_lamp
saitama_tokorozawa_lamp	g_brand_lamp
tokyo_kita_lamp_akabane	g_brand_lamp
kanagawa_kannai_lynx	g_brand_lynx
