# エリアが足りない店の**下書き**（inspect_incomplete_area.mjs が生成）
# ⚠️ そのまま適用しないこと。住所の括弧に並んでいる地名を足しただけで、
#    その店が本当にそこにルームを持つか確認したものではない。公式サイトで1件ずつ確かめること。
# ⚠️ 先頭の地名がエリア一覧(/area/:pref)の振り分けに使われる。いまの先頭を維持してある。
# 形式: <shop_id>	<都道府県>	<市区>	<エリア>	<住所>   （- はその項目を変更しない）
tokyo_toshima_ikebukuro_muchimuchi_onesan	-	-	池袋|秋葉原|赤羽|大井町|五反田|立川	-
tokyo_toshima_ikebukuro_le_reve_ck	-	-	池袋|大塚|日暮里|駒込|赤羽	-
aichi_sakae_cucue	-	-	栄|伏見|金山|千種|今池	-
osaka_umeda_orenoie	-	-	梅田|日本橋|谷町|天王寺	-
tokyo_chuo_nihonbashi_urekaji_nihonbashi	-	-	日本橋|銀座|新宿|立川	-
osaka_umeda_super_happy_girls	-	-	梅田|十三|日本橋|谷町	-
aichi_osu_tiger_eye	-	-	大須|丸の内|名駅南|今池	-
tokyo_toshima_ikebukuro_b_sera_kiwami	-	-	池袋|赤羽|大塚|巣鴨	-
aichi_yabacho_aroma_terrace	-	-	矢場町|則武|丸の内	-
osaka_umeda_my_mama_spa	-	-	梅田|新大阪|十三	-
tokyo_shinagawa_gotanda_anna	-	-	五反田|新宿三丁目|代々木	-
aichi_sakae_spur_luxury	-	-	栄|丸の内|久屋大通	-
aichi_yabacho_marigold	-	-	矢場町|丸の内|高岳	-
osaka_umeda_madam_gentleman	-	-	梅田|日本橋|谷町	-
tokyo_shinjuku_shinjuku_aroma_laluna	-	-	新宿|初台|大久保	-
tokyo_shinjuku_shinjuku_natural_organic_spa	-	-	新宿|渋谷|池袋	-
aichi_shinsakae_majisera	-	-	新栄|金山	-
osaka_sakaisujihonmachi_es_doll	-	-	堺筋本町|日本橋	-
aichi_kanayama_number9	-	-	金山|伏見	-
kanagawa_shinyokohama_yuru_spa	-	-	新横浜|関内	-
aichi_meieki_milk_repos	-	-	名駅|高岳	-
tokyo_toshima_otsuka_otsuka_mg	-	-	大塚|巣鴨	-
osaka_umeda_mufufu	-	-	梅田|北新地	-
