id,name,therapist_count,therapists_sample
1130,メンズエステ Cucue (きゅきゅ),77,1130_1130-1
1134,M Spa (エムスパ),42,1134_1134-1
1130,メンズエステ Cucue (きゅきゅ),77,1130_1130-1
1134,M Spa (エムスパ),42,1134_1134-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1140,Number9 (ナンバーナイン),53,1140_1140-1
1121,RESEXY (リゼクシー) 栄,176,1121_1121-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1142,チャンス 名古屋 (旧フラワー),50,1142_1142-1
1134,M Spa (エムスパ),42,1134_1134-1
1136,Spur Luxury (シュプールラグジュアリー),50,1136_1136-1
1122,MADAME聖子 (マダムセイコ),117,1122_1122-1
1135,メンズエステ一宮,35,1135_1135-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1130,メンズエステ Cucue (きゅきゅ),77,1130_1130-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1123,タイガーアイ (旧タイガー),100,1123_1123-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1120,Aroma Terrace (アロマテラス) 名古屋,109,1120_1120-1
1128,ENCORE (アンコール),30,1128_1128-1
1123,タイガーアイ (旧タイガー),100,1123_1123-1
1130,メンズエステ Cucue (きゅきゅ),77,1130_1130-1
1122,MADAME聖子 (マダムセイコ),117,1122_1122-1
1141,マジセラ (旧ワタセラ),40,1141_1141-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1140,Number9 (ナンバーナイン),53,1140_1140-1
1121,RESEXY (リゼクシー) 栄,176,1121_1121-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1142,チャンス 名古屋 (旧フラワー),50,1142_1142-1
1120,Aroma Terrace (アロマテラス) 名古屋,109,1120_1120-1
1142,チャンス 名古屋 (旧フラワー),50,1142_1142-1
1134,M Spa (エムスパ),42,1134_1134-1
1124,Marigold (マリーゴールド),128,1124_1124-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1121,RESEXY (リゼクシー) 栄,176,1121_1121-1
1136,Spur Luxury (シュプールラグジュアリー),50,1136_1136-1
1123,タイガーアイ (旧タイガー),100,1123_1123-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1127,century (センチュリー),100,1127_1127-1
1142,チャンス 名古屋 (旧フラワー),50,1142_1142-1
1130,メンズエステ Cucue (きゅきゅ),77,1130_1130-1
1128,ENCORE (アンコール),30,1128_1128-1
1132,Galaxy-NAGOYA (ギャラクシーナゴヤ),20,1132_1132-1
1125,GOLDEN ROSE (ゴールデンローズ),137,1125_1125-1
1134,M Spa (エムスパ),42,1134_1134-1
1143,milk repos (ミルクルポ),79,1143_1143-1
1136,Spur Luxury (シュプールラグジュアリー),50,1136_1136-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1123,タイガーアイ (旧タイガー),100,1123_1123-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1148,THE BLANC (ザブラン),38,1148_1148-1
1120,Aroma Terrace (アロマテラス) 名古屋,109,1120_1120-1
1134,M Spa (エムスパ),42,1134_1134-1
1124,Marigold (マリーゴールド),128,1124_1124-1
1120,Aroma Terrace (アロマテラス) 名古屋,109,1120_1120-1
1142,チャンス 名古屋 (旧フラワー),50,1142_1142-1
1123,タイガーアイ (旧タイガー),100,1123_1123-1
1131,Tororich (とろリッチ),61,1131_1131-1
1120,Aroma Terrace (アロマテラス) 名古屋,109,1120_1120-1
1137,Aromana (アロマーナ),297,1137_1137-1
1133,CAMPBELL (キャンベル),18,1133_1133-1
1127,century (センチュリー),100,1127_1127-1
1142,チャンス 名古屋 (旧フラワー),50,1142_1142-1
1130,メンズエステ Cucue (きゅきゅ),77,1130_1130-1
1125,GOLDEN ROSE (ゴールデンローズ),137,1125_1125-1
1134,M Spa (エムスパ),42,1134_1134-1
1138,RESEXY (リゼクシー) 栄,100,1138_1138-1
1129,RICH AROMA (リッチアロマ),25,1129_1129-1
1136,Spur Luxury (シュプールラグジュアリー),50,1136_1136-1
1139,VENIRE (ヴェニーレ),94,1139_1139-1
1122,MADAME聖子 (マダムセイコ),117,1122_1122-1
1141,マジセラ (旧ワタセラ),40,1141_1141-1
1139,VENIRE (ヴェニーレ),94,1139_1139-1
1127,century (センチュリー),100,1127_1127-1
1142,チャンス 名古屋 (旧フラワー),50,1142_1142-1
1128,ENCORE (アンコール),30,1128_1128-1
1125,GOLDEN ROSE (ゴールデンローズ),137,1125_1125-1
1124,Marigold (マリーゴールド),128,1124_1124-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1119,Mrs Crystal (ミセスクリスタル) 名古屋,74,1119_1119-1
1120,Aroma Terrace (アロマテラス) 名古屋,109,1120_1120-1
1124,Marigold (マリーゴールド),128,1124_1124-1
1126,ゆりかご FC名古屋,118,1126_1126-1
1175,MadameRest (マダムレスト),44,1175_1175-1
1180,AROMA CHARIS (アロマカリス),66,1180_1180-1
1181,美吟 (ビギン) 船橋店,37,1181_1181-1
77504,Limited Spa (リミテッドスパ),76,77504-yuri
1182,M～second～ (エムセカンド),40,1182_1182-1
77503,Limited Spa (リミテッドスパ),76,77503-yuri
77505,Limited Spa (リミテッドスパ),76,77505-yuri
1183,LUANA (ルアナ) 柏,57,1183_1183-1
1176,ささやき (旧ラビット),190,1176_1176-1
1177,神のエステ 柏・松戸店,183,1177_1177-1
77433,超レベチなエステ24,48,77433-himawari-ran
1180,AROMA CHARIS (アロマカリス),66,1180_1180-1
1181,美吟 (ビギン) 船橋店,37,1181_1181-1
77435,超レベチなエステ24,48,77433-himawari-ran
1035,アロマギルド 津田沼,18,1035_1035-1
1184_1,ゆりかご 京都,60,1184_1_1184-1
1203,Feerique (フェリーク) 福岡,54,1203_1203-1
1205,メンズアロマ博多人妻さん,15,1205_1205-1
1204,Lion Heart (ライオンハート) 福岡,77,1204_1204-1
1207,MOTHERS (マザーズ),56,1207_1207-1
1206,Request (リクエスト),67,1206_1206-1
1208,ピンキーグラッツェ小倉,36,1208_1208-1
1207_1,MOTHERS (マザーズ),24,1207_1_1207-57
1189_1,Kobe Eslino (神戸エスリノ),100,1189_1_1189-1
